vrFragment_trace.txt_vr_frag_thput_mbps,0.135,1.621,0.805
vrFragment_trace.txt_vr_burst_thput_mbps,3.499,0.569,0.876
vrFragment_trace.txt_vr_frag_time,29.984,0.539,0.903
vrFragment_trace.txt_vr_burst_time,31.368,0.594,0.893
delay_trace.txt_dl_delay,5.978,0.578,0.879
vrFragment_trace.txt_vr_frag_thput_mbps,0.179,2.613,0.688
vrFragment_trace.txt_vr_burst_thput_mbps,3.762,0.612,0.851
vrFragment_trace.txt_vr_frag_time,26.811,0.505,0.928
vrFragment_trace.txt_vr_burst_time,29.407,0.532,0.91
delay_trace.txt_dl_delay,4.329,0.351,0.926
vrFragment_trace.txt_vr_frag_thput_mbps,0.153,1.285,0.733
vrFragment_trace.txt_vr_burst_thput_mbps,3.863,0.576,0.833
vrFragment_trace.txt_vr_frag_time,29.445,0.463,0.906
vrFragment_trace.txt_vr_burst_time,25.84,0.436,0.931
delay_trace.txt_dl_delay,3.831,0.312,0.94
vrFragment_trace.txt_vr_frag_thput_mbps,0.151,1.478,0.74
vrFragment_trace.txt_vr_burst_thput_mbps,4.268,0.582,0.801
vrFragment_trace.txt_vr_frag_time,30.669,0.439,0.892
vrFragment_trace.txt_vr_burst_time,29.787,0.468,0.916
delay_trace.txt_dl_delay,4.077,0.363,0.93
vrFragment_trace.txt_vr_frag_thput_mbps,0.107,0.792,0.858
vrFragment_trace.txt_vr_burst_thput_mbps,3.53,0.458,0.855
vrFragment_trace.txt_vr_frag_time,25.077,0.372,0.925
vrFragment_trace.txt_vr_burst_time,26.282,0.398,0.914
delay_trace.txt_dl_delay,4.563,0.414,0.899
vrFragment_trace.txt_vr_frag_thput_mbps,0.116,0.803,0.825
vrFragment_trace.txt_vr_burst_thput_mbps,3.754,0.534,0.839
vrFragment_trace.txt_vr_frag_time,25.145,0.392,0.92
vrFragment_trace.txt_vr_burst_time,25.56,0.407,0.919
delay_trace.txt_dl_delay,4.765,0.421,0.882
